Episode,Episode Score,100-Ep Rolling Avg
0,-3.25,
1,-3.0,
2,-3.25,
3,-3.3,
4,-3.35,
5,-3.2,
6,-4.950000000000001,
7,-3.0,
8,-3.55,
9,-3.6,
10,-3.6500000000000004,
11,-3.0,
12,-3.35,
13,-3.05,
14,-3.6,
15,-3.2,
16,-3.6,
17,-3.7,
18,-3.15,
19,-3.0,
20,-3.05,
21,-4.300000000000001,
22,-3.3,
23,-3.05,
24,-3.15,
25,-4.500000000000001,
26,-4.25,
27,-3.4,
28,-3.15,
29,-3.4,
30,-5.15,
31,-3.15,
32,-3.0,
33,-4.1000000000000005,
34,-3.55,
35,-4.4,
36,-3.5,
37,-3.25,
38,-3.15,
39,-3.3,
40,-3.1,
41,-3.5,
42,-0.14999999999999591,
43,-3.1,
44,-4.15,
45,-3.2,
46,-3.65,
47,-3.5,
48,-4.3500000000000005,
49,-5.3,
50,-4.45,
51,-3.05,
52,-3.55,
53,-7.099999999999998,
54,-3.05,
55,-3.5,
56,-3.3,
57,-3.2,
58,-3.7,
59,-3.6,
60,-8.599999999999993,
61,-3.0,
62,-4.950000000000001,
63,-3.45,
64,-4.25,
65,-3.6,
66,-3.8000000000000003,
67,-3.15,
68,-3.95,
69,-3.3,
70,-3.25,
71,-3.1,
72,-3.25,
73,-3.0,
74,-3.1,
75,-7.249999999999995,
76,-5.749999999999998,
77,-3.05,
78,-3.6,
79,-3.2,
80,-5.300000000000001,
81,-3.45,
82,-3.75,
83,-3.05,
84,-4.15,
85,-3.6,
86,-6.449999999999999,
87,-3.25,
88,-3.2,
89,-4.700000000000001,
90,-4.05,
91,-3.6,
92,-4.25,
93,-3.25,
94,-3.75,
95,-4.950000000000001,
96,-3.45,
97,-4.25,
98,-4.7,
99,-3.85,-3.7395
100,-5.35,-3.7605
101,-3.55,-3.7659999999999996
102,-3.05,-3.764
103,-3.4,-3.765
104,-3.3,-3.7645
105,-3.5,-3.7674999999999996
106,-3.9000000000000004,-3.7569999999999997
107,-3.3,-3.76
108,-3.3,-3.7574999999999994
109,-4.15,-3.763
110,-3.5,-3.7615
111,-3.3,-3.7645
112,-3.2,-3.763
113,-3.6,-3.7684999999999995
114,-3.3,-3.7654999999999994
115,-3.25,-3.7659999999999996
116,-3.3,-3.763
117,-3.1,-3.7569999999999997
118,-3.65,-3.762
119,-3.9000000000000004,-3.7709999999999995
120,-4.1,-3.7815
121,-6.749999999999998,-3.8059999999999996
122,-3.65,-3.8095
123,-3.45,-3.8134999999999994
124,-3.6,-3.8179999999999996
125,-3.1,-3.804
126,-3.2,-3.7935
127,-3.05,-3.79
128,-5.25,-3.8110000000000004
129,-5.200000000000001,-3.8289999999999997
130,-3.45,-3.812
131,-3.0,-3.8104999999999993
132,-3.6500000000000004,-3.8169999999999997
133,-3.8000000000000003,-3.8139999999999996
134,2.349999999999999,-3.755
135,-0.5499999999999963,-3.7165
136,-5.8,-3.7395
137,-4.850000000000001,-3.7555
138,-4.700000000000001,-3.7709999999999995
139,-4.550000000000001,-3.7834999999999996
140,-3.0,-3.7825
141,1.9499999999999993,-3.728
142,-3.45,-3.7609999999999997
143,-3.25,-3.7625
144,-3.7,-3.7579999999999996
145,-6.849999999999998,-3.7944999999999998
146,-3.0,-3.7880000000000003
147,-3.15,-3.7845
148,-5.15,-3.7925
149,-3.0,-3.7694999999999994
150,-3.8,-3.7629999999999995
151,-3.0,-3.7624999999999993
152,-3.0,-3.7569999999999997
153,-3.4,-3.72
154,2.049999999999999,-3.6689999999999996
155,-4.4,-3.6779999999999995
156,-3.7,-3.682
157,-3.45,-3.6845
158,-3.1,-3.6784999999999997
159,-4.15,-3.6839999999999997
160,-3.4,-3.6319999999999997
161,-3.85,-3.6405000000000003
162,-7.4499999999999975,-3.6655
163,-4.0,-3.6710000000000003
164,-3.75,-3.6660000000000004
165,-3.9000000000000004,-3.6689999999999996
166,-4.2,-3.6729999999999996
167,-3.3,-3.6745
168,-3.6,-3.6710000000000003
169,-4.15,-3.6795
170,-3.7,-3.6839999999999997
171,-3.2,-3.685
172,-4.300000000000001,-3.6954999999999996
173,-4.45,-3.71
174,-3.2,-3.7110000000000003
175,-4.8500000000000005,-3.6870000000000003
176,-3.7,-3.6665000000000005
177,-7.049999999999996,-3.7064999999999997
178,-3.6,-3.7064999999999997
179,-3.25,-3.707
180,-4.300000000000001,-3.697
181,-3.7,-3.6995
182,-3.25,-3.6944999999999997
183,1.6500000000000004,-3.6475
184,-5.9,-3.665
185,-3.35,-3.6625
186,-3.6500000000000004,-3.6345
187,-5.85,-3.6605000000000003
188,-5.35,-3.682
189,-4.75,-3.6825
190,-4.800000000000001,-3.69
191,-4.050000000000001,-3.6944999999999997
192,-4.300000000000001,-3.695
193,-4.65,-3.7089999999999996
194,-3.55,-3.707
195,-3.25,-3.69
196,-4.450000000000001,-3.7
197,-3.25,-3.69
198,-4.0,-3.6830000000000003
199,-5.299999999999999,-3.6975
200,-3.05,-3.6745
201,-3.2,-3.6710000000000003
202,-3.45,-3.675
203,-3.6,-3.677
204,-4.2,-3.6860000000000004
205,-3.6,-3.6870000000000003
206,-7.599999999999999,-3.7239999999999998
207,-4.15,-3.7325
208,-4.1,-3.7405
209,-3.6500000000000004,-3.7355
210,-4.45,-3.745
211,-3.6,-3.7479999999999993
212,-5.949999999999998,-3.7754999999999996
213,-1.2499999999999938,-3.752
214,-4.300000000000001,-3.762
215,-5.000000000000001,-3.7795
216,-4.45,-3.7909999999999995
