Episode,Episode Score,100-Ep Rolling Avg
0,-5.050000000000001,
1,-3.1,
2,-5.1,
3,-3.2,
4,-3.0,
5,-3.75,
6,-3.8,
7,-3.3,
8,-5.000000000000001,
9,-3.9000000000000004,
10,-3.3,
11,-4.15,
12,-3.7,
13,-3.75,
14,-3.35,
15,-4.3500000000000005,
16,1.6500000000000004,
17,-3.5,
18,-3.8,
19,-3.0,
20,-3.8,
21,-3.45,
22,-4.850000000000001,
23,-3.25,
24,-3.0,
25,-4.450000000000001,
26,2.349999999999999,
27,-3.6,
28,-3.2,
29,-3.9,
30,-3.6500000000000004,
31,-3.6,
32,-3.0,
33,-3.8000000000000003,
34,-3.35,
35,-3.5,
36,-1.149999999999996,
37,-3.1,
38,-4.750000000000001,
39,-3.2,
40,-5.75,
41,-4.900000000000001,
42,-5.5,
43,3.05,
44,-5.25,
45,-3.0,
46,-3.9,
47,-3.05,
48,-3.55,
49,-3.1,
50,-3.25,
51,-4.45,
52,-3.15,
53,-3.0,
54,-3.0,
55,-3.15,
56,-3.0,
57,-4.750000000000001,
58,-3.1,
59,-5.3,
60,-3.6500000000000004,
61,-3.25,
62,0.45000000000000195,
63,3.55,
64,-3.45,
65,-3.45,
66,-3.25,
67,-4.2,
68,-3.3,
69,-3.25,
70,-3.65,
71,-3.4,
72,2.7499999999999996,
73,-4.4,
74,-0.1499999999999968,
75,-3.45,
76,-4.1,
77,2.55,
78,-3.2,
79,-4.65,
80,-3.6,
81,-3.35,
82,-3.0,
83,-3.0,
84,-3.85,
85,-3.25,
86,-3.4,
87,-3.0,
88,-3.35,
89,3.3499999999999996,
90,-3.6,
91,-4.600000000000001,
92,-4.450000000000001,
93,-5.15,
94,-6.349999999999997,
95,-3.1,
96,-3.4,
97,-3.05,
98,-4.25,
99,-6.199999999999999,-3.219
100,-3.7,-3.2055000000000002
101,-7.299999999999997,-3.2475
102,-3.3,-3.2295
103,-5.250000000000001,-3.25
104,-3.2,-3.252
105,2.7499999999999996,-3.187
106,-3.75,-3.1864999999999997
107,2.4499999999999993,-3.1289999999999996
108,-4.05,-3.1195
109,-3.75,-3.1180000000000003
110,-4.45,-3.1294999999999997
111,-3.7,-3.125
112,-3.15,-3.1195
113,-3.5,-3.117
114,-4.15,-3.125
115,-3.3,-3.1145
116,-3.3,-3.164
117,-3.0,-3.1590000000000003
118,-4.1,-3.162
119,-5.200000000000001,-3.184
120,-3.1,-3.177
121,-3.05,-3.173
122,-6.499999999999998,-3.1895
123,-3.25,-3.1895
124,-3.4,-3.1935
125,-3.3,-3.182
126,-3.4,-3.2395000000000005
127,-4.1000000000000005,-3.2445
128,-3.6,-3.2485000000000004
129,-5.300000000000001,-3.2625
130,3.35,-3.1925
131,-0.1499999999999977,-3.1579999999999995
132,3.55,-3.0925
133,-7.399999999999999,-3.1285
134,-7.999999999999995,-3.175
135,-3.8,-3.178
136,-3.7,-3.2035
137,-4.15,-3.214
138,-3.3,-3.1995
139,-3.0,-3.1975
140,-3.35,-3.1735
141,-3.15,-3.1559999999999997
142,-3.45,-3.1354999999999995
143,-4.45,-3.2105
144,-4.800000000000001,-3.2059999999999995
145,-5.200000000000001,-3.228
146,3.45,-3.1545
147,2.349999999999999,-3.1005000000000003
148,-4.950000000000001,-3.1145
149,-3.6,-3.1195000000000004
150,-4.050000000000001,-3.1275
151,-3.05,-3.1134999999999997
152,-3.65,-3.1185
153,-4.0,-3.1285000000000003
154,-3.75,-3.136
155,-3.1,-3.1355
156,1.9499999999999993,-3.0860000000000003
157,-4.6000000000000005,-3.0845000000000002
158,-3.2,-3.0855
159,-3.25,-3.065
160,0.05000000000000249,-3.028
161,-3.0,-3.0255
162,-4.1,-3.071
163,-5.449999999999999,-3.161
164,-5.25,-3.1790000000000003
165,-3.6,-3.1804999999999994
166,-3.0,-3.1779999999999995
167,-3.3,-3.1689999999999996
168,-3.1,-3.167
169,-4.2,-3.1765
170,-4.550000000000001,-3.1855
171,-3.7,-3.1885000000000003
172,-5.300000000000001,-3.269
173,-4.25,-3.2675
174,-4.6000000000000005,-3.312
175,-3.35,-3.3110000000000004
176,-7.499999999999996,-3.345
177,-4.700000000000001,-3.4175
178,-3.6,-3.4215000000000004
179,-3.3,-3.408
180,-3.4,-3.406
181,-4.050000000000001,-3.4130000000000003
182,-3.05,-3.4135000000000004
183,-4.0,-3.4235
184,-3.05,-3.4154999999999998
185,-4.2,-3.425
186,-3.7,-3.428
187,-3.45,-3.4325
188,-3.7,-3.4359999999999995
189,-3.2,-3.5014999999999996
190,3.05,-3.435
