Episode,Episode Score,100-Ep Rolling Avg
0,-1.3500000000000003,
1,-0.3,
2,-0.15000000000000002,
3,-0.15000000000000002,
4,-0.1,
5,-0.7000000000000002,
6,-0.4,
7,-0.5,
8,-0.1,
9,-0.15000000000000002,
10,-0.30000000000000004,
11,-0.05,
12,0.0,
13,-0.15000000000000002,
14,-0.49999999999999994,
15,-0.45,
16,-0.39999999999999997,
17,-0.4,
18,-0.7999999999999999,
19,0.55,
20,-0.7500000000000009,
21,-0.2,
22,-0.8500000000000002,
23,-0.850000000000001,
24,0.65,
25,-0.15000000000000002,
26,-0.9000000000000001,
27,-1.2500000000000004,
28,-0.4500000000000004,
29,-0.35000000000000003,
30,-0.9000000000000004,
31,-0.9500000000000002,
32,-0.2,
33,-0.30000000000000004,
34,-0.2,
35,-0.39999999999999997,
36,-0.05,
37,-0.9500000000000002,
38,-0.55,
39,-0.4,
40,-0.1,
41,-0.44999999999999996,
42,0.65,
43,-0.35000000000000003,
44,0.25,
45,-0.8500000000000001,
46,-0.25,
47,-0.05,
48,-0.5,
49,-0.050000000000000266,
50,-0.15000000000000002,
51,-0.7,
52,-0.35,
53,-0.7000000000000002,
54,-0.9000000000000002,
55,-1.1,
56,-0.65,
57,-0.7499999999999999,
58,-0.6000000000000001,
59,-0.050000000000000044,
60,-0.2,
61,-0.25,
62,-0.15000000000000036,
63,-0.4500000000000006,
64,-0.05,
65,-2.3499999999999974,
66,0.0,
67,-0.15000000000000002,
68,-0.1,
69,-1.2000000000000002,
70,-0.35,
71,-1.9000000000000008,
72,-0.35,
73,-0.1,
74,-0.1,
75,-0.05,
76,0.0,
77,-0.9,
78,-1.4500000000000006,
79,-0.6000000000000001,
80,-0.5,
81,-0.050000000000000266,
82,-0.2,
83,0.65,
84,-0.25,
85,-0.25,
86,-0.4500000000000006,
87,-1.0500000000000003,
88,-0.5499999999999999,
89,-0.65,
90,-0.44999999999999996,
91,-0.35000000000000053,
92,0.35,
93,-0.3,
94,-0.1,
95,0.2499999999999999,
96,-0.5,
97,0.44999999999999996,
98,0.0,
99,0.0,-0.3870000000000001
100,0.75,-0.3660000000000001
101,-0.050000000000000044,-0.3635000000000001
102,-0.3,-0.36500000000000005
103,-0.1,-0.36450000000000005
