Episode,Episode Score,100-Ep Rolling Avg
0,-4.1000000000000005,
1,-3.65,
2,-2.000000000000001,
3,-3.15,
4,-3.2,
5,-4.1000000000000005,
6,-0.6500000000000006,
7,-3.45,
8,-3.3,
9,-3.3,
10,-3.5,
11,-3.55,
12,-3.4,
13,-3.45,
14,-3.1,
15,-1.800000000000001,
16,-2.0500000000000007,
17,-3.55,
18,-3.8,
19,-1.9000000000000012,
20,-3.1,
21,-3.9000000000000004,
22,-4.550000000000001,
23,-3.1,
24,-3.1,
25,-3.0,
26,-3.05,
27,-3.55,
28,-3.3,
29,-3.9000000000000004,
30,-3.05,
31,-3.35,
32,-3.35,
33,-4.550000000000001,
34,-2.100000000000001,
35,-0.25000000000000044,
36,-2.000000000000001,
37,-3.8000000000000003,
38,-3.55,
39,-3.1,
40,-3.2,
41,-3.55,
42,-3.75,
43,-2.0500000000000007,
44,-3.1,
45,-3.65,
46,0.45000000000000007,
47,-2.4,
48,-3.6,
49,-4.550000000000001,
50,-3.0,
51,-3.65,
52,-3.35,
53,-3.55,
54,-3.0,
55,-2.050000000000001,
56,-4.15,
57,-3.15,
58,-4.45,
59,-3.55,
60,0.1499999999999999,
61,-3.35,
62,-3.25,
63,-2.1500000000000004,
64,0.35,
65,-3.0,
66,-3.5,
67,-2.3500000000000014,
68,-3.65,
69,-3.45,
70,-3.0,
71,-3.25,
72,-1.9500000000000008,
73,-3.4,
74,-3.85,
75,-5.1000000000000005,
76,0.55,
77,-3.3,
78,-2.250000000000001,
79,-2.0500000000000007,
80,-3.65,
81,-0.15000000000000036,
82,-2.15,
83,-3.15,
84,-3.4,
85,-0.050000000000000266,
86,-3.8500000000000005,
87,-3.2,
88,0.45000000000000007,
89,-4.700000000000001,
90,0.25,
91,-1.9500000000000013,
92,-0.35000000000000075,
93,-3.65,
94,-3.45,
95,-3.8,
96,-3.2,
97,-4.45,
98,-3.75,
99,-4.0,-2.9195000000000007
100,-3.25,-2.911
101,-4.1,-2.9155
102,0.45000000000000007,-2.891
103,-3.1,-2.8905000000000007
104,-3.05,-2.889
105,-3.55,-2.8835
106,-3.7,-2.9139999999999997
107,-3.0,-2.9095
108,-3.3,-2.9095
109,-2.1,-2.8975000000000004
110,-0.050000000000000044,-2.863000000000001
111,-3.1,-2.8585000000000003
112,-2.1000000000000005,-2.8455
113,-3.35,-2.8445
114,-3.45,-2.8480000000000008
115,-2.2000000000000006,-2.8520000000000003
116,-4.15,-2.873
117,-3.95,-2.877
118,-3.1,-2.87
119,-3.55,-2.8865000000000003
120,-3.4,-2.8895
121,-3.55,-2.886
122,-2.000000000000001,-2.8605
123,-3.8000000000000003,-2.8675
124,-3.75,-2.8740000000000006
125,-3.25,-2.8765000000000005
126,0.1499999999999997,-2.8445
127,-5.250000000000001,-2.8615
128,-3.15,-2.8600000000000008
129,-3.5,-2.8560000000000003
130,-3.1,-2.8564999999999996
131,-3.25,-2.8555
132,-3.05,-2.8525
133,-3.2,-2.839
134,-0.4500000000000004,-2.8225000000000007
135,-3.55,-2.8555
136,-2.250000000000001,-2.858
137,-3.3,-2.853
138,-3.65,-2.8540000000000005
139,-3.2,-2.855
140,-3.1,-2.8539999999999996
141,-3.1,-2.8495
142,-3.05,-2.8425
143,-3.4,-2.8560000000000003
144,-3.45,-2.8594999999999997
145,-3.15,-2.8545000000000003
146,-3.15,-2.8905000000000003
147,-3.55,-2.9019999999999997
148,-1.950000000000001,-2.8855
149,-4.3500000000000005,-2.8835
150,-3.25,-2.886
151,-3.3,-2.8825000000000007
152,-5.15,-2.9005
153,-3.2,-2.897
154,0.45000000000000007,-2.8625
155,-3.35,-2.8755
156,-4.3500000000000005,-2.8775
157,-2.4499999999999997,-2.8705000000000003
158,-4.850000000000001,-2.8745
159,-3.9000000000000004,-2.878
160,-1.9000000000000008,-2.8985000000000003
161,-3.0,-2.895
162,0.34999999999999987,-2.859
163,-3.5,-2.8725
164,-0.4500000000000006,-2.8805
165,-2.150000000000001,-2.8720000000000003
166,-3.55,-2.8725000000000005
167,-3.8000000000000003,-2.8870000000000005
168,-3.35,-2.8840000000000003
169,-3.05,-2.88
170,-3.2,-2.8819999999999997
171,-4.950000000000001,-2.8989999999999996
172,-3.9000000000000004,-2.9185000000000003
173,0.1499999999999998,-2.883
174,-1.9500000000000008,-2.8640000000000003
175,-3.6,-2.849
176,-3.15,-2.886
177,-0.25000000000000044,-2.8555000000000006
178,-4.4,-2.8770000000000007
179,-2.350000000000001,-2.880000000000001
180,-3.5,-2.8785000000000003
181,-1.9000000000000012,-2.8960000000000004
182,-3.9,-2.9135000000000004
183,-4.750000000000001,-2.9295
184,-3.9000000000000004,-2.9345000000000003
185,-3.8000000000000003,-2.9720000000000004
186,-3.15,-2.965
187,-3.6,-2.9690000000000003
188,-3.0,-3.0035000000000003
189,-3.1,-2.9875
190,-3.1,-3.0210000000000004
191,0.04999999999999982,-3.0010000000000003
192,-3.95,-3.037
193,-3.0,-3.0305
194,-3.2,-3.028
195,-3.25,-3.0225
196,-3.0,-3.0205
197,-3.25,-3.0084999999999997
198,-3.4,-3.005
199,-3.7,-3.002
200,-0.050000000000000266,-2.97
201,-3.4,-2.963
202,-3.35,-3.0010000000000003
203,-4.15,-3.0115
204,-3.0,-3.011
205,-3.3,-3.0085
206,-3.9000000000000004,-3.0105
207,-3.55,-3.016
208,-1.7500000000000007,-3.0005
209,-3.75,-3.017
210,-4.700000000000001,-3.0634999999999994
211,-3.8500000000000005,-3.071
212,-0.850000000000001,-3.0585000000000004
213,-3.45,-3.0595000000000003
214,-3.75,-3.0625
215,-4.450000000000001,-3.085
216,0.04999999999999993,-3.043
217,-3.3,-3.0365
218,-3.45,-3.04
219,-3.05,-3.035
220,-3.35,-3.0345000000000004
221,0.2499999999999999,-2.9965
222,-2.100000000000001,-2.9975
223,-3.2,-2.9915000000000003
224,-3.45,-2.9885
225,-3.65,-2.9925
226,-2.0000000000000013,-3.0140000000000002
227,0.04999999999999971,-2.9610000000000003
228,-3.4,-2.9635000000000002
229,-3.1,-2.9595
230,-3.15,-2.9600000000000004
231,-3.15,-2.9590000000000005
232,-4.0,-2.9685
233,0.55,-2.931
234,-4.0,-2.9665
235,-4.1000000000000005,-2.9720000000000004
236,-1.800000000000001,-2.9675000000000007
237,-3.35,-2.968
238,-3.9000000000000004,-2.9705
239,-0.7500000000000009,-2.946
240,-4.4,-2.9590000000000005
241,0.24999999999999978,-2.9255
242,-3.0,-2.925
243,-3.75,-2.9285
244,-4.300000000000001,-2.9370000000000003
245,-3.65,-2.9419999999999997
246,-4.700000000000001,-2.9575000000000005
247,-2.5000000000000004,-2.9470000000000005
248,-3.0,-2.9575000000000005
249,-3.15,-2.9455
250,-2.0500000000000007,-2.9335000000000004
251,-3.05,-2.931
252,-3.0,-2.9095000000000004
253,-3.6500000000000004,-2.914
254,-3.85,-2.9570000000000003
255,-3.3,-2.9564999999999997
256,-2.4000000000000012,-2.9370000000000003
257,-3.1,-2.9435000000000002
258,-2.000000000000001,-2.9150000000000005
259,-3.9000000000000004,-2.9150000000000005
260,-3.4,-2.93
261,-3.0,-2.93
262,-2.000000000000001,-2.9535
263,-2.6000000000000005,-2.9445000000000006
264,-3.5,-2.9750000000000005
265,0.55,-2.948
266,-0.25000000000000044,-2.915
267,-0.5500000000000009,-2.8825
268,-3.75,-2.8865000000000003
269,-3.2,-2.888
270,-3.2,-2.888
271,-2.25,-2.861
272,-3.35,-2.8555
273,-3.2,-2.8890000000000002
274,-3.45,-2.904
275,-2.000000000000001,-2.888
276,-3.1,-2.8875
277,-3.15,-2.9164999999999996
278,-1.6500000000000008,-2.8890000000000002
279,-0.8500000000000008,-2.8739999999999997
280,-2.000000000000001,-2.859
281,-1.7500000000000009,-2.8575
282,-3.25,-2.8510000000000004
283,-2.8000000000000007,-2.8315
284,-2.1500000000000012,-2.8140000000000005
285,-4.3500000000000005,-2.8194999999999997
286,-2.6000000000000005,-2.8140000000000005
287,-3.8,-2.8160000000000003
